subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1507312,21-35,female,strawberry,6,75-100%,-20,-54,-27,10,-24,0,0,0,0,1,0,1,0,0,0,0,1,0
1507312,21-35,female,strawberry,3,75-100%,16,-25,-25,30,-28,0,0,0,0,0,0,1,0,0,0,0,0,0
1507312,21-35,female,strawberry,5,75-100%,-11,-3,5,17,49,0,1,0,0,0,0,0,0,0,0,0,0,1
1034554,51-65,female,strawberry,4,75-100%,71,34,35,25,35,0,1,1,0,0,0,1,0,0,0,0,0,0
1034554,51-65,female,strawberry,1,75-100%,7,59,46,55,65,1,0,0,0,1,0,0,0,0,0,1,0,0
1034554,51-65,female,strawberry,2,75-100%,31,38,29,41,24,0,0,1,0,0,0,1,0,0,0,0,0,0
1034554,51-65,female,strawberry,6,75-100%,10,12,0,45,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1034554,51-65,female,strawberry,3,75-100%,49,47,35,36,56,0,0,1,0,0,0,1,0,0,0,0,0,0
1034554,51-65,female,strawberry,5,75-100%,89,76,62,25,85,0,0,0,0,1,0,0,0,0,1,0,0,0
1522576,36-50,female,strawberry,4,75-100%,-77,-32,-32,-12,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1522576,36-50,female,strawberry,1,75-100%,-51,-99,-100,-54,52,0,0,0,0,0,0,1,0,0,0,0,0,0
1522576,36-50,female,strawberry,2,75-100%,-60,-29,-67,-9,45,0,0,0,0,0,0,1,0,0,0,0,0,0
1522576,36-50,female,strawberry,6,75-100%,-34,-75,-99,23,-76,0,0,1,1,0,0,0,0,0,0,0,1,0
1522576,36-50,female,strawberry,3,75-100%,45,27,-37,42,-22,0,0,0,0,1,0,0,0,0,0,0,0,0
1522576,36-50,female,strawberry,5,75-100%,14,12,-30,36,6,0,0,1,0,1,0,0,0,0,0,0,0,0
1507368,51-65,female,strawberry,4,75-100%,55,71,74,57,74,0,1,0,0,1,1,0,0,0,0,0,0,1
1507368,51-65,female,strawberry,1,75-100%,13,34,55,34,37,1,1,0,0,1,0,0,0,0,0,0,0,1
1507368,51-65,female,strawberry,2,75-100%,-3,12,35,36,-1,0,1,0,0,1,0,0,0,0,0,0,0,0
1507368,51-65,female,strawberry,6,75-100%,12,-2,12,-4,-4,0,0,0,0,0,0,0,1,0,0,0,0,0
1507368,51-65,female,strawberry,3,75-100%,-3,10,10,10,-4,0,1,0,0,1,0,0,0,0,0,0,0,0
1507368,51-65,female,strawberry,5,75-100%,35,34,32,33,-1,0,1,0,0,1,0,0,0,0,0,0,1,0
1507781,21-35,female,strawberry,4,75-100%,-57,-32,-71,-79,60,1,0,1,1,0,0,0,0,0,0,1,0,0
1507781,21-35,female,strawberry,1,75-100%,39,78,76,-79,59,0,1,0,0,1,0,0,0,0,0,0,0,0
1507781,21-35,female,strawberry,2,75-100%,-77,-57,0,58,-58,0,0,1,1,0,0,1,0,0,0,0,0,0
1507781,21-35,female,strawberry,6,75-100%,-77,-10,10,14,-57,1,0,0,0,1,0,0,0,0,0,1,0,1
1507781,21-35,female,strawberry,3,75-100%,-10,-8,-32,61,35,0,0,0,0,0,0,0,0,0,0,0,0,1
1507781,21-35,female,strawberry,5,75-100%,-7,-29,-8,59,77,0,0,0,1,0,0,0,0,0,0,0,0,0
1514655,21-35,female,strawberry,4,75-100%,-34,1,-8,-18,3,0,1,0,1,1,1,1,0,0,0,0,0,0
1514655,21-35,female,strawberry,1,75-100%,-92,-96,-87,-96,-65,0,1,1,1,0,0,0,0,0,0,0,0,0
1514655,21-35,female,strawberry,2,75-100%,-89,-100,-99,-99,-14,0,0,0,1,0,0,0,0,0,0,0,0,0
1514655,21-35,female,strawberry,6,75-100%,-56,-18,-18,19,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1514655,21-35,female,strawberry,3,75-100%,-66,35,17,-10,32,0,1,0,0,1,0,0,0,0,0,1,0,0
1514655,21-35,female,strawberry,5,75-100%,-35,-75,-60,-35,16,0,0,1,1,1,1,0,0,1,0,0,0,0
1032536,21-35,female,strawberry,4,75-100%,-9,11,12,15,12,0,1,0,0,1,0,0,0,0,0,0,0,1
1032536,21-35,female,strawberry,1,75-100%,-10,38,34,36,35,0,1,0,0,1,0,0,0,1,0,0,0,0
1032536,21-35,female,strawberry,2,75-100%,-57,-10,-9,-11,15,0,0,1,0,0,1,1,0,0,0,0,0,0
1032536,21-35,female,strawberry,6,75-100%,11,39,37,53,10,1,1,0,0,1,0,0,0,0,0,0,0,1
1032536,21-35,female,strawberry,3,75-100%,73,14,14,-34,37,1,0,1,0,0,0,0,0,0,0,0,0,0
